Crop	Insect	Village	vF	vQ	pollen_capacity
Solanum_tuberosum	Apis_cerana	CHUM	0.00746268656716418	0.105263157894737	95.8975332068311
Solanum_tuberosum	Apis_cerana	GADI	0.0127659574468085	0.25	95.8975332068311
Solanum_tuberosum	Apis_cerana	LORP	0.0193236714975845	0.266666666666667	95.8975332068311
Solanum_tuberosum	Apis_cerana	LUMA	0.00170068027210884	0.125	95.8975332068311
Solanum_tuberosum	Apis_cerana	PATM	0	0	95.8975332068311
Solanum_tuberosum	Apis_cerana	PERE	0.00210526315789474	0.25	95.8975332068311
Solanum_tuberosum	Apis_cerana	RINI	0.00884955752212389	0.0357142857142857	95.8975332068311
Solanum_tuberosum	Apis_cerana	TIRK	0	0	95.8975332068311
Beta_vulgaris	Apis_cerana	CHUM	0.00746268656716418	1	95.8975332068311
Beta_vulgaris	Apis_cerana	GADI	0	0	95.8975332068311
Beta_vulgaris	Apis_cerana	LORP	0	0	95.8975332068311
Beta_vulgaris	Apis_cerana	PERE	0.00210526315789474	0.333333333333333	95.8975332068311
Beta_vulgaris	Apis_cerana	RINI	0.00294985250737463	1	95.8975332068311
Beta_vulgaris	Apis_cerana	URTH	0	0	95.8975332068311
Lepidium_sativum	Apis_cerana	CHAU	0	0	95.8975332068311
Lepidium_sativum	Apis_cerana	GADI	0	0	95.8975332068311
Lepidium_sativum	Apis_cerana	LORP	0.00241545893719807	1	95.8975332068311
Lepidium_sativum	Apis_cerana	PATM	0	0	95.8975332068311
Lepidium_sativum	Apis_cerana	RINI	0.00589970501474926	0.25	95.8975332068311
Lepidium_sativum	Apis_cerana	TIRK	0	0	95.8975332068311
Lepidium_sativum	Apis_cerana	URTH	0	0	95.8975332068311
Allium_sp._01	Apis_cerana	CHAU	0	0	95.8975332068311
Foeniculum_vulgare	Apis_cerana	RINI	0	0	95.8975332068311
Phaseolus_coccineus	Apis_cerana	CHUM	0.00373134328358209	0.333333333333333	95.8975332068311
Phaseolus_coccineus	Apis_cerana	LUMA	0	0	95.8975332068311
Phaseolus_coccineus	Apis_cerana	PATM	0.00340136054421769	0.333333333333333	95.8975332068311
Solanum_melongena	Apis_cerana	CHAU	0	0	95.8975332068311
Solanum_melongena	Apis_cerana	LORP	0	0	95.8975332068311
Nicotiana_tabacum	Apis_cerana	CHAU	0.0040650406504065	0.166666666666667	95.8975332068311
Nicotiana_tabacum	Apis_cerana	PATM	0.00680272108843537	0.5	95.8975332068311
Raphanus_sativus	Apis_cerana	CHAU	0.0528455284552846	0.619047619047619	95.8975332068311
Raphanus_sativus	Apis_cerana	CHUM	0.0634328358208955	0.708333333333333	95.8975332068311
Raphanus_sativus	Apis_cerana	GADI	0.0127659574468085	0.6	95.8975332068311
Raphanus_sativus	Apis_cerana	LORP	0.0410628019323672	0.566666666666667	95.8975332068311
Raphanus_sativus	Apis_cerana	LUMA	0.0187074829931973	0.5	95.8975332068311
Raphanus_sativus	Apis_cerana	PATM	0.0680272108843537	0.377358490566038	95.8975332068311
Raphanus_sativus	Apis_cerana	PERE	0.0210526315789474	0.5	95.8975332068311
Raphanus_sativus	Apis_cerana	RINI	0.0707964601769911	0.428571428571429	95.8975332068311
Raphanus_sativus	Apis_cerana	TIRK	0.05	0.2	95.8975332068311
Raphanus_sativus	Apis_cerana	URTH	0.0901639344262295	0.619718309859155	95.8975332068311
Allium_tuberosum	Apis_cerana	PERE	0.0378947368421053	0.75	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	CHAU	0.0040650406504065	0.111111111111111	95.8975332068311
Phaseolus_vulgaris	Apis_cerana	CHUM	0.00373134328358209	0.0833333333333333	95.8975332068311
