number;study_village;have_apple_trees;apple_yield_change;apple_yield_years;apple_qual_change;apples_smaller;apples_bigger;apples_less_round;apples_more_round;apple_deformed;apple_taste_worse;apple_taste_better;apple_color_changed;apple_rot_more_quickly;apple_qual_other;apple_qual_dont_know
90;RINI;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;RINI;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;RINI;yes;decrease;25;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;RINI;yes;no_change;NA;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;RINI;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;RINI;yes;decrease;1;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96;RINI;yes;decrease;2;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;RINI;yes;decrease;3;decrease;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
98;TIRK;yes;dont_know;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
99;TIRK;yes;dont_know;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;TIRK;yes;decrease;2;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;TIRK;yes;decrease;2;decrease;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
102;TIRK;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;TIRK;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
104;TIRK;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;1;NA;NA
105;TIRK;yes;decrease;3;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;TIRK;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;TIRK;yes;increase;1;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;URTH;yes;decrease;6;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;URTH;yes;decrease;2;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
110;URTH;yes;decrease;3;decrease;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA
111;URTH;yes;increase;1;decrease;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA
112;URTH;yes;decrease;3;decrease;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
113;URTH;yes;decrease;2;decrease;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA
114;URTH;yes;increase;1;decrease;1;NA;1;NA;1;NA;NA;NA;1;NA;NA
115;URTH;yes;increase;1;decrease;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA
116;URTH;yes;decrease;1;decrease;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA
