Crop	Village	vF	vQ	pollen_capacity	Importance
Fagopyrum_tataricum	RINI	0.0056657223796034	0.0625	88.3461538461538	0.0312840488123774
Fagopyrum_tataricum	TIRK	0	0	86.7833333333333	0
Fagopyrum_tataricum	URTH	0	0	73.2727272727273	0
Foeniculum_vulgare	RINI	0	0	88.3461538461538	0
Lepidium_sativum	CHAU	0	0	70.0555555555556	0
Lepidium_sativum	GADI	0	0	148.327586206897	0
Lepidium_sativum	LORP	0.00232018561484919	1	31.1666666666667	0.0723124516627997
Lepidium_sativum	PATM	0	0	55.2424242424242	0
Lepidium_sativum	RINI	0.0056657223796034	0.25	88.3461538461538	0.12513619524951
Lepidium_sativum	TIRK	0	0	86.7833333333333	0
Lepidium_sativum	URTH	0	0	73.2727272727273	0
Cyphomandra_betacea	LORP	0.00464037122969838	1	31.1666666666667	0.144624903325599
Beta_vulgaris	CHUM	0.0072992700729927	1	106.891304347826	0.780228498889241
Beta_vulgaris	GADI	0	0	148.327586206897	0
Beta_vulgaris	LORP	0	0	31.1666666666667	0
Beta_vulgaris	PERE	0.00208768267223382	0.333333333333333	48.6301369863014	0.0338414314448861
Beta_vulgaris	RINI	0.0028328611898017	1	88.3461538461538	0.250272390499019
Beta_vulgaris	URTH	0	0	73.2727272727273	0
Cucurbita_pepo	URTH	0	0	73.2727272727273	0
Phaseolus_coccineus	CHUM	0.00364963503649635	0.333333333333333	106.891304347826	0.130038083148207
Phaseolus_coccineus	LUMA	0	0	89.0632911392405	0
Phaseolus_coccineus	PATM	0.00326797385620915	0.333333333333333	55.2424242424242	0.0601769327259523
Cannabis_sativa	CHUM	0.00364963503649635	1	106.891304347826	0.390114249444621
Zea_mays	CHUM	0.00364963503649635	0.5	106.891304347826	0.19505712472231
Zea_mays	GADI	0.0040650406504065	1	148.327586206897	0.60295766750771
Zea_mays	RINI	0.0141643059490085	0.625	88.3461538461538	0.782101220309436
Anethum_graveolens	LORP	0	0	31.1666666666667	0
Allium_sp._01	CHAU	0	0	70.0555555555556	0
Allium_sativum	CHAU	0	0	70.0555555555556	0
Allium_sativum	CHUM	0.00364963503649635	1	106.891304347826	0.390114249444621
Allium_sativum	LORP	0	0	31.1666666666667	0
Allium_sativum	TIRK	0.00483091787439613	0.5	86.7833333333333	0.209621578099839
Hordeum_vulgare	CHUM	0.00364963503649635	1	106.891304347826	0.390114249444621
Hordeum_vulgare	PATM	0.00326797385620915	0.5	55.2424242424242	0.0902653990889285
Prunus_domestica	LUMA	0	0	89.0632911392405	0
Prunus_domestica	PATM	0	0	55.2424242424242	0
Prunus_domestica	PERE	0	0	48.6301369863014	0
Prunus_domestica	RINI	0	0	88.3461538461538	0
Allium_tuberosum	PERE	0.0375782881002088	0.75	48.6301369863014	1.37057797351789
Canavalia_ensiformis	RINI	0	0	88.3461538461538	0
